"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","197602","2.926","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197603","3.032","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197604","3.112","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197605","3.053","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197606","2.924","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197607","2.666","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197608","2.44","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197609","2.098","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197610","2.732","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197611","2.713","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197612","2.774","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197613","33.372","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197701","3.061","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197702","2.24","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197703","2.928","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197704","2.757","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197705","2.762","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197706","2.547","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197707","2.484","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197708","2.471","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197709","2.429","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197710","2.542","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197711","3.016","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197712","3.365","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197713","32.601","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197801","2.821","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197802","2.5","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197803","2.772","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
